Total Pembeli (Pesanan Dibuat),Produk (Pesanan Dibuat),Total Penjualan (Pesanan Dibuat) (IDR),Tingkat Konversi (Pesanan yang Dibuat),Produk (Pesanan Siap Dikirim),Cluster
4,6,376083.0,0.0348,6,0
5,5,140507.0,0.045,5,0
4,5,63126.0,0.129,5,0
5,5,342163.0,0.0684999999999999,3,0
2,5,14336.0,0.0556,3,0
3,5,40435.0,0.06,5,0
4,5,28669.0,0.1538,5,0
2,5,81595.0,0.05,5,0
3,5,374518.0,0.0698,5,0
5,5,38302.0,0.0769,4,0
3,5,158551.0,0.0638,5,0
4,5,61376.0,0.0571,3,0
4,4,91881.0,0.129,4,0
4,4,31238.0,0.1379,4,0
4,4,22929.0,0.3636,4,0
2,4,64587.0,0.0667,4,0
4,4,14834.0,0.0301,4,0
3,4,315359.0,0.0423,3,0
4,4,63791.0,0.0237999999999999,4,0
3,4,226092.0,0.0326,3,0
3,4,90747.0,0.0508,2,0
2,4,99416.0,0.0132,4,0
2,4,24574.0,0.0377,3,0
3,4,135301.0,0.0492,4,0
3,4,11949.0,0.15,4,0
2,4,302976.0,0.0187,4,0
4,4,151947.0,0.05,4,0
3,4,216708.0,0.0536,4,0
3,3,169235.0,0.0536,3,0
2,3,24373.0,0.1429,2,0
3,3,94176.0,0.0545,3,0
3,3,18631.0,0.0789,3,0
3,3,46688.0,0.0612,3,0
2,3,33424.0,0.0263,1,0
2,3,380727.0,0.0713999999999999,1,0
2,3,72779.0,0.0302999999999999,3,0
3,3,208026.0,0.0155,3,0
2,3,63602.0,0.08,2,0
2,3,4236.0,0.1818,3,0
3,3,29548.0,0.0129,3,0
2,3,61926.0,0.0155,3,0
3,3,132687.0,0.1765,3,0
1,2,19894.0,0.027,2,0
2,2,55525.0,0.0487999999999999,2,0
2,2,748.0,0.0163999999999999,2,0
2,2,91475.0,0.0356999999999999,2,0
2,2,61546.0,0.0465,2,0
2,2,62183.0,0.0667,2,0
1,2,13308.0,0.0294,2,0
1,2,138.0,0.0385,2,0
2,2,189828.0,0.0426,2,0
2,2,136894.0,0.0333,2,0
2,2,105369.0,0.0125,2,0
2,2,24043.0,0.1176,1,0
1,1,4279.0,0.0385,1,0
1,1,119564.0,0.0475999999999999,1,0
1,1,22177.0,0.0196,1,0
1,1,634.0,0.0088,1,0
1,1,38104.0,0.0526,1,0
1,1,65432.0,0.0667,1,0
1,1,23575.0,0.0263,1,0
1,1,19228.0,0.0192,1,0
1,1,31.0,0.0144999999999999,1,0
1,1,15745.0,0.0323,1,0
1,1,10621.0,0.0104,1,0
1,1,348.0,0.0237999999999999,1,0
1,1,22132.0,0.04,1,0
1,1,45324.0,0.0294,1,0
1,1,7823.0,0.0333,1,0
1,1,47495.0,0.05,1,0
1,1,38569.0,0.0175,1,0
1,1,26436.0,0.0081,1,0
1,1,6386.0,0.1429,1,0
1,1,61671.0,0.0179,1,0
1,1,50232.0,0.0417,1,0
1,1,131.0,0.0152,1,0
1,1,25147.0,0.0713999999999999,1,0
1,1,10911.0,0.0455,1,0
1,1,18253.0,0.0556,1,0
1,1,712.0,0.0132,1,0
1,1,6758.0,0.0222,1,0
1,1,10405.0,0.0333,1,0
1,1,7276.0,0.0625,1,0
1,1,47.0,0.0179,1,0
1,1,54929.0,0.1667,1,0
1,1,11482.0,0.0455,1,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
0,0,0.0,0.0,0,0
